ID,Región,Comuna,Tipo Propiedad,Precio,Metros Totales,Metros Útiles,Habitaciones,Baños,Estacionamiento,Bodega,Año Construcción
26,Metropolitana,Las Condes,Terreno,109086959,197,192,5,3,No,Sí,1962
27,Los Lagos,Puerto Montt,Oficina,272570134,76,68,3,4,Sí,No,1963
28,Araucanía,Temuco,Terreno,195288606,46,35,1,2,No,No,1972
29,Valparaíso,Viña del Mar,Oficina,385021686,249,220,4,4,No,Sí,1954
30,Metropolitana,Providencia,Casa,490128793,103,75,2,2,Sí,No,2019
31,Araucanía,Temuco,Oficina,86107006,146,140,2,4,No,No,1979
32,Valparaíso,Valparaíso,Departamento,438380499,50,31,5,2,No,No,1972
33,Valparaíso,Valparaíso,Oficina,158563529,287,270,5,1,No,Sí,1971
34,Araucanía,Temuco,Oficina,44246733,56,49,5,2,Sí,Sí,1966
35,Los Lagos,Puerto Montt,Terreno,194986053,292,266,5,3,Sí,Sí,1957
36,Valparaíso,Valparaíso,Oficina,174894635,260,235,2,3,Sí,Sí,1993
37,Valparaíso,Valparaíso,Terreno,389768394,54,25,5,4,No,Sí,1954
38,Metropolitana,Las Condes,Terreno,456558605,242,236,6,2,No,No,2010
39,Biobío,Los Ángeles,Departamento,249232930,43,27,1,2,Sí,No,2013
40,Metropolitana,Santiago,Departamento,63321822,145,133,2,2,No,No,2006
41,Valparaíso,Viña del Mar,Terreno,230885201,218,203,4,4,No,No,1979
42,Valparaíso,Valparaíso,Departamento,393950035,221,194,2,2,No,No,1982
43,Metropolitana,Las Condes,Terreno,454514646,227,201,4,4,No,Sí,1989
44,Valparaíso,Viña del Mar,Departamento,334290202,263,243,1,2,No,Sí,1975
45,Biobío,Los Ángeles,Terreno,131032478,210,186,2,1,No,No,2015
46,Biobío,Concepción,Oficina,109285281,251,231,3,1,No,Sí,2020
47,Biobío,Los Ángeles,Departamento,163585168,84,56,2,1,Sí,Sí,1951
48,Metropolitana,Las Condes,Casa,416303947,226,211,3,1,No,Sí,1980
49,Araucanía,Temuco,Departamento,264446916,167,161,5,2,No,Sí,1982
50,Metropolitana,Las Condes,Terreno,310786043,141,128,4,3,No,Sí,1955
51,Biobío,Concepción,Oficina,298538545,275,251,1,2,Sí,Sí,1953
52,Araucanía,Temuco,Casa,125325971,79,67,5,1,Sí,Sí,1962
53,Metropolitana,Providencia,Casa,488077445,170,156,2,2,No,No,1986
54,Valparaíso,Valparaíso,Casa,496900915,135,112,2,4,Sí,No,1959
55,Biobío,Los Ángeles,Oficina,277123234,144,138,1,4,Sí,No,1973
56,Valparaíso,Viña del Mar,Departamento,265280942,257,242,1,4,Sí,Sí,1988
57,Biobío,Los Ángeles,Terreno,319197248,138,127,4,1,Sí,No,2018
58,Biobío,Los Ángeles,Departamento,473429927,38,32,6,1,No,No,1999
59,Valparaíso,Viña del Mar,Casa,256137852,193,179,5,1,Sí,No,1986
60,Araucanía,Temuco,Casa,441230129,263,253,3,1,No,Sí,2016
61,Metropolitana,Providencia,Casa,254357987,66,40,2,1,No,No,1991
62,Biobío,Los Ángeles,Terreno,366197327,59,44,5,3,No,No,1962
63,Los Lagos,Puerto Montt,Casa,272362858,221,214,1,1,Sí,No,1989
64,Valparaíso,Viña del Mar,Departamento,199204244,182,169,3,1,Sí,Sí,1956
65,Biobío,Concepción,Oficina,71124513,116,105,4,3,Sí,Sí,2017
66,Valparaíso,Viña del Mar,Oficina,346649868,132,104,5,3,Sí,No,1987
67,Valparaíso,Viña del Mar,Oficina,255226190,142,117,1,4,No,Sí,1957
68,Biobío,Concepción,Departamento,207387531,186,157,3,2,No,Sí,2011
69,Metropolitana,Santiago,Casa,294024126,256,249,4,3,No,Sí,2020
70,Biobío,Los Ángeles,Casa,331638215,283,262,5,4,No,No,2009
71,Biobío,Concepción,Oficina,63890713,147,133,4,4,Sí,Sí,2013
72,Los Lagos,Puerto Montt,Casa,67614563,164,151,2,4,Sí,Sí,2002
73,Metropolitana,Santiago,Oficina,109675667,258,229,5,3,No,Sí,1977
74,Valparaíso,Viña del Mar,Terreno,116236474,229,203,1,1,Sí,No,1993
75,Coquimbo,La Serena,Terreno,426499923,150,145,5,2,No,Sí,1991
76,Biobío,Los Ángeles,Departamento,97559179,255,236,6,3,Sí,No,1956
77,Valparaíso,Viña del Mar,Terreno,70345354,67,40,1,3,No,Sí,2021
78,Biobío,Concepción,Casa,494881869,289,269,4,1,Sí,Sí,1983
79,Metropolitana,Providencia,Departamento,472948212,39,21,1,3,No,Sí,1995
80,Metropolitana,Providencia,Casa,440209273,58,29,2,1,No,Sí,1994
81,Metropolitana,Santiago,Oficina,482307296,116,88,5,4,Sí,Sí,1967
82,Metropolitana,Santiago,Departamento,405846083,238,216,3,2,No,Sí,1988
83,Valparaíso,Viña del Mar,Departamento,362947786,151,134,4,3,Sí,No,1980
84,Valparaíso,Viña del Mar,Oficina,327993267,67,49,6,3,Sí,No,1977
85,Valparaíso,Viña del Mar,Oficina,308292666,214,196,3,3,No,Sí,1966
86,Araucanía,Temuco,Terreno,71261540,143,131,1,4,Sí,No,1992
87,Valparaíso,Viña del Mar,Terreno,264832311,119,108,4,1,No,No,2022
88,Valparaíso,Viña del Mar,Terreno,202289296,276,266,3,2,No,No,1966
89,Valparaíso,Viña del Mar,Oficina,294442247,225,216,1,3,Sí,No,1956
90,Coquimbo,La Serena,Casa,423476002,117,106,2,3,Sí,No,2020
91,Metropolitana,Las Condes,Casa,430679810,268,263,1,2,Sí,Sí,1971
92,Araucanía,Temuco,Casa,101465949,44,33,2,4,No,Sí,2019
93,Biobío,Los Ángeles,Casa,360566837,49,32,2,3,Sí,Sí,2017
94,Biobío,Los Ángeles,Terreno,351877447,152,129,2,4,Sí,Sí,1954
95,Valparaíso,Valparaíso,Departamento,124299097,210,184,4,4,Sí,No,1979
96,Araucanía,Temuco,Oficina,491463879,266,242,3,1,No,No,2010
97,Araucanía,Temuco,Terreno,273202110,140,117,1,4,No,Sí,1951
98,Valparaíso,Valparaíso,Terreno,230172547,100,89,5,3,No,Sí,1994
99,Biobío,Concepción,Terreno,463790179,118,108,2,2,No,No,1956
100,Metropolitana,Las Condes,Departamento,458278538,137,117,3,2,No,No,1964
101,Metropolitana,Santiago,Oficina,140681882,55,30,5,4,No,Sí,1950
102,Metropolitana,Santiago,Departamento,389323246,294,280,5,1,No,No,2005
103,Valparaíso,Viña del Mar,Casa,188379723,92,77,5,3,Sí,No,2000
104,Araucanía,Temuco,Casa,491383292,183,178,6,2,Sí,No,1969
105,Metropolitana,Las Condes,Terreno,262058585,173,151,3,3,Sí,No,1968
106,Biobío,Concepción,Oficina,35107761,30,20,4,1,No,No,2019
107,Metropolitana,Las Condes,Terreno,480390677,100,86,5,2,Sí,Sí,1952
108,Biobío,Los Ángeles,Casa,113355943,200,175,2,2,Sí,No,1954
109,Metropolitana,Santiago,Terreno,51906945,222,216,2,1,Sí,No,2001
110,Metropolitana,Las Condes,Oficina,384088807,131,102,1,4,No,No,1976
111,Coquimbo,La Serena,Casa,235666872,80,54,6,2,Sí,Sí,2008
112,Valparaíso,Viña del Mar,Oficina,287991039,41,27,4,3,Sí,No,2017
113,Valparaíso,Viña del Mar,Oficina,491804769,47,20,6,3,No,No,2019
114,Valparaíso,Valparaíso,Departamento,249224200,229,211,6,4,No,No,2003
115,Metropolitana,Las Condes,Oficina,75570126,68,63,3,3,Sí,No,2019
116,Valparaíso,Viña del Mar,Casa,245360519,40,24,4,2,Sí,Sí,1958
117,Valparaíso,Viña del Mar,Departamento,168793697,67,47,5,4,No,No,1974
118,Valparaíso,Viña del Mar,Casa,460454224,209,198,4,2,No,Sí,1968
119,Valparaíso,Viña del Mar,Oficina,210467918,37,29,6,4,No,No,2018
120,Biobío,Concepción,Terreno,402122645,286,257,6,2,Sí,Sí,1994
121,Biobío,Concepción,Departamento,434834059,223,198,1,1,No,Sí,2003
122,Biobío,Los Ángeles,Departamento,66863021,182,156,6,4,No,Sí,1958
123,Metropolitana,Providencia,Terreno,30051811,125,106,3,4,Sí,No,1995
124,Coquimbo,La Serena,Casa,367980523,296,287,2,4,No,No,1997
125,Araucanía,Temuco,Oficina,43883321,64,56,2,1,No,No,1953
126,Biobío,Concepción,Terreno,157134038,156,140,5,1,No,Sí,1996
127,Valparaíso,Valparaíso,Oficina,78815311,143,129,5,4,No,Sí,1998
128,Araucanía,Temuco,Casa,129929512,75,64,3,2,No,Sí,1988
129,Biobío,Los Ángeles,Departamento,466192934,42,30,2,4,Sí,Sí,1950
130,Biobío,Concepción,Departamento,45870896,131,101,2,3,No,No,1998
131,Biobío,Los Ángeles,Oficina,114945320,192,171,6,3,No,Sí,1974
132,Metropolitana,Providencia,Oficina,287948222,94,81,3,1,No,Sí,1969
133,Metropolitana,Providencia,Departamento,349873061,225,195,1,4,No,No,1994
134,Metropolitana,Providencia,Oficina,33010753,79,72,4,4,Sí,Sí,1957
135,Biobío,Los Ángeles,Casa,98505860,263,242,5,4,No,No,2010
136,Valparaíso,Valparaíso,Casa,284777680,182,175,4,4,Sí,No,2007
137,Metropolitana,Las Condes,Terreno,219200217,205,183,3,3,Sí,Sí,1994
138,Los Lagos,Puerto Montt,Departamento,355569681,299,292,6,2,Sí,No,2003
139,Araucanía,Temuco,Departamento,169806572,198,170,4,4,No,No,1981
140,Valparaíso,Valparaíso,Casa,259843414,237,223,6,3,No,Sí,2004
141,Metropolitana,Las Condes,Oficina,289868399,182,161,6,1,No,Sí,2020
142,Metropolitana,Las Condes,Departamento,356617388,217,191,5,2,Sí,Sí,1951
143,Valparaíso,Viña del Mar,Oficina,457145318,293,265,5,3,No,No,1964
144,Araucanía,Temuco,Casa,343848905,57,39,4,4,No,Sí,1972
145,Metropolitana,Santiago,Terreno,89008591,52,36,6,1,Sí,Sí,1969
146,Metropolitana,Santiago,Departamento,293076010,36,20,2,4,Sí,Sí,1964
147,Biobío,Los Ángeles,Casa,88928826,39,20,1,4,Sí,No,1997
148,Valparaíso,Viña del Mar,Casa,78869249,189,173,2,2,Sí,No,1976
149,Metropolitana,Providencia,Departamento,149899887,275,265,6,3,Sí,No,1977
150,Metropolitana,Santiago,Departamento,197068072,165,154,4,4,No,No,1999
151,Metropolitana,Providencia,Departamento,262829749,123,100,2,4,Sí,No,1973
152,Araucanía,Temuco,Casa,50790004,143,131,6,1,No,Sí,1962
153,Biobío,Los Ángeles,Oficina,145391931,218,212,3,3,No,Sí,1990
154,Biobío,Concepción,Casa,305822448,297,273,4,4,No,No,1957
155,Los Lagos,Puerto Montt,Oficina,63617044,163,137,6,2,No,Sí,2006
156,Valparaíso,Valparaíso,Oficina,343930636,174,167,2,3,Sí,Sí,1954
157,Valparaíso,Valparaíso,Departamento,312662784,64,58,4,3,Sí,Sí,1953
158,Valparaíso,Valparaíso,Departamento,385948398,226,205,4,2,Sí,Sí,1991
159,Valparaíso,Viña del Mar,Departamento,33317424,39,20,4,2,Sí,No,2002
160,Biobío,Los Ángeles,Casa,349333735,208,193,3,1,No,No,1962
161,Valparaíso,Viña del Mar,Terreno,495326417,63,34,6,4,No,Sí,2016
162,Metropolitana,Las Condes,Terreno,491322840,132,105,6,1,No,Sí,2014
163,Coquimbo,La Serena,Departamento,213143927,136,111,1,1,Sí,No,1972
164,Biobío,Los Ángeles,Departamento,250985864,146,117,4,1,No,Sí,1950
165,Biobío,Los Ángeles,Terreno,273518806,157,140,6,1,Sí,Sí,1980
166,Metropolitana,Santiago,Terreno,170133666,132,124,3,2,No,No,1950
167,Los Lagos,Puerto Montt,Terreno,32813715,61,42,4,1,No,No,1993
168,Coquimbo,La Serena,Oficina,165117481,106,84,5,3,Sí,No,1959
169,Metropolitana,Santiago,Oficina,208785240,46,35,4,4,No,Sí,1970
170,Coquimbo,La Serena,Casa,202125845,196,182,2,1,No,Sí,2015
171,Valparaíso,Viña del Mar,Oficina,382527210,63,45,4,2,Sí,No,1979
172,Los Lagos,Puerto Montt,Casa,98049844,133,116,2,3,Sí,No,1957
173,Biobío,Los Ángeles,Terreno,138233727,98,79,2,1,Sí,No,1972
174,Araucanía,Temuco,Departamento,322024021,261,240,2,2,No,No,2017
175,Metropolitana,Las Condes,Departamento,367139568,259,252,3,4,No,Sí,2022
176,Biobío,Concepción,Departamento,275180769,111,100,1,2,No,Sí,1998
177,Biobío,Concepción,Terreno,372184632,225,220,4,1,Sí,No,2019
178,Los Lagos,Puerto Montt,Terreno,444707771,178,155,5,4,Sí,Sí,1975
179,Araucanía,Temuco,Casa,238243912,278,266,6,3,Sí,No,1969
180,Metropolitana,Las Condes,Terreno,84684404,76,53,3,2,Sí,No,1959
181,Metropolitana,Providencia,Casa,76547528,247,219,3,3,No,Sí,2002
182,Araucanía,Temuco,Casa,471878730,263,256,1,1,Sí,Sí,1960
183,Biobío,Concepción,Casa,85842773,234,229,6,4,No,No,2021
184,Coquimbo,La Serena,Oficina,260553152,87,82,5,3,Sí,No,1980
185,Metropolitana,Santiago,Oficina,233779587,107,98,1,4,No,No,2011
186,Araucanía,Temuco,Terreno,339445653,300,277,5,3,Sí,No,2015
187,Biobío,Los Ángeles,Terreno,305183650,146,120,4,4,No,Sí,2004
188,Valparaíso,Valparaíso,Terreno,349413234,116,90,2,4,Sí,No,1973
189,Biobío,Los Ángeles,Casa,79424885,36,20,5,3,No,No,1978
190,Valparaíso,Viña del Mar,Departamento,101099206,286,260,1,1,Sí,Sí,1998
191,Los Lagos,Puerto Montt,Casa,272047550,237,213,5,2,Sí,Sí,1955
192,Araucanía,Temuco,Departamento,236748229,198,178,4,3,No,Sí,2000
193,Biobío,Concepción,Departamento,131843063,104,90,2,4,No,No,2002
194,Araucanía,Temuco,Departamento,366135224,171,145,3,4,No,Sí,2000
195,Valparaíso,Viña del Mar,Departamento,223012266,298,283,1,3,No,No,1986
196,Araucanía,Temuco,Oficina,421400230,300,282,5,1,Sí,No,1960
197,Metropolitana,Santiago,Terreno,121764341,187,163,5,3,Sí,Sí,1960
198,Metropolitana,Santiago,Casa,247920443,123,109,2,3,Sí,No,2017
199,Metropolitana,Providencia,Casa,113522339,69,41,6,4,Sí,No,1981
200,Biobío,Concepción,Oficina,348668490,163,149,3,2,Sí,No,1951
201,Coquimbo,La Serena,Departamento,60342870,53,40,2,2,Sí,No,1976
202,Metropolitana,Santiago,Oficina,239878387,72,64,4,4,Sí,Sí,1952
203,Metropolitana,Las Condes,Terreno,468172537,198,174,1,3,No,No,2017
204,Araucanía,Temuco,Departamento,74899416,145,122,5,4,Sí,No,2022
205,Valparaíso,Viña del Mar,Casa,446019691,44,31,5,1,No,No,2015
206,Biobío,Concepción,Casa,391767154,60,40,6,1,No,Sí,2015
207,Biobío,Los Ángeles,Departamento,317792201,210,184,4,2,No,Sí,1969
208,Metropolitana,Providencia,Terreno,289687972,185,168,4,2,Sí,No,1962
209,Coquimbo,La Serena,Departamento,32515082,280,256,5,4,Sí,Sí,2012
210,Metropolitana,Santiago,Departamento,433944524,53,36,4,4,No,Sí,1950
211,Metropolitana,Providencia,Oficina,279395294,215,201,2,3,Sí,Sí,1982
212,Metropolitana,Providencia,Terreno,379338724,116,100,6,2,Sí,Sí,1968
213,Coquimbo,La Serena,Oficina,86977572,222,206,5,4,No,No,2001
214,Biobío,Concepción,Casa,134646355,133,113,2,3,Sí,No,1981
215,Metropolitana,Santiago,Terreno,100893459,217,207,4,4,Sí,No,1960
216,Metropolitana,Las Condes,Departamento,409649093,87,77,4,4,No,No,1958
217,Metropolitana,Santiago,Casa,172110195,226,199,5,2,Sí,Sí,1972
218,Valparaíso,Viña del Mar,Departamento,388119939,237,210,5,2,No,Sí,2019
219,Biobío,Concepción,Departamento,154450324,47,31,5,4,Sí,Sí,2007
220,Biobío,Concepción,Casa,337006642,202,185,6,2,Sí,Sí,2022
221,Biobío,Concepción,Casa,351607039,235,228,1,2,Sí,Sí,1958
222,Biobío,Los Ángeles,Casa,304140998,30,20,2,4,No,Sí,1953
223,Valparaíso,Viña del Mar,Terreno,163419322,108,89,6,3,Sí,No,2019
224,Biobío,Concepción,Oficina,250739643,191,186,5,4,No,Sí,2023
225,Biobío,Concepción,Terreno,207523685,92,84,4,2,Sí,No,2019
226,Metropolitana,Las Condes,Casa,50311301,48,41,5,2,No,No,2017
227,Metropolitana,Santiago,Terreno,486583283,242,213,6,3,Sí,Sí,2022
228,Metropolitana,Santiago,Oficina,52115415,197,179,6,2,No,Sí,1987
229,Valparaíso,Viña del Mar,Departamento,217772137,297,283,4,4,No,Sí,2009
230,Biobío,Concepción,Casa,486010240,241,215,4,2,Sí,Sí,1999
231,Biobío,Los Ángeles,Oficina,155515760,279,268,1,1,No,No,1995
232,Metropolitana,Las Condes,Oficina,224080533,153,147,1,2,No,Sí,1986
233,Metropolitana,Las Condes,Departamento,329045823,300,286,4,3,No,Sí,2020
234,Metropolitana,Providencia,Oficina,243754107,146,125,4,4,No,No,2005
235,Metropolitana,Providencia,Oficina,390355677,165,158,4,1,No,No,2005
236,Biobío,Los Ángeles,Casa,435332914,201,181,6,4,No,No,2012
237,Valparaíso,Valparaíso,Casa,497014834,186,172,3,3,Sí,No,1969
238,Metropolitana,Santiago,Casa,222291957,146,141,5,3,Sí,Sí,1987
239,Los Lagos,Puerto Montt,Oficina,240593075,215,200,3,2,Sí,No,1984
240,Valparaíso,Valparaíso,Terreno,265243544,158,134,1,2,No,Sí,2011
241,Metropolitana,Providencia,Oficina,122157341,48,27,1,3,No,No,1970
242,Metropolitana,Santiago,Departamento,431492188,132,126,4,1,Sí,Sí,2017
243,Biobío,Concepción,Oficina,49967935,75,65,3,1,No,Sí,2020
244,Metropolitana,Santiago,Oficina,444860721,36,27,5,1,Sí,Sí,1975
245,Metropolitana,Las Condes,Terreno,259158304,240,228,6,1,No,No,1978
246,Biobío,Los Ángeles,Departamento,449976229,230,217,6,3,Sí,No,1961
247,Valparaíso,Valparaíso,Oficina,198942306,248,226,4,1,Sí,Sí,1993
248,Coquimbo,La Serena,Casa,498032402,40,29,4,2,Sí,No,1968
249,Biobío,Concepción,Oficina,444635805,143,117,4,2,Sí,No,2012
250,Valparaíso,Viña del Mar,Departamento,238155086,184,174,3,3,Sí,No,1980
251,Valparaíso,Viña del Mar,Terreno,48884079,265,250,4,3,Sí,Sí,1971
252,Valparaíso,Valparaíso,Departamento,79947763,180,162,6,4,Sí,No,1962
253,Biobío,Los Ángeles,Oficina,171582641,51,39,2,4,Sí,No,2001
254,Los Lagos,Puerto Montt,Departamento,424735482,161,148,3,4,Sí,Sí,2015
255,Metropolitana,Santiago,Casa,155862164,196,188,2,1,No,Sí,1981
256,Metropolitana,Providencia,Terreno,253981486,284,259,6,2,No,No,1991
257,Metropolitana,Las Condes,Oficina,390550111,168,151,1,1,No,No,1965
258,Los Lagos,Puerto Montt,Departamento,146037884,89,64,6,3,Sí,No,2017
259,Biobío,Los Ángeles,Departamento,296835629,197,183,4,4,No,Sí,2017
260,Los Lagos,Puerto Montt,Departamento,423918056,219,203,5,1,No,Sí,1981
261,Los Lagos,Puerto Montt,Casa,352438492,140,129,1,2,Sí,No,1986
262,Metropolitana,Santiago,Terreno,172941859,229,221,6,3,Sí,Sí,1954
263,Metropolitana,Santiago,Casa,230784411,295,272,5,2,No,No,1960
264,Metropolitana,Las Condes,Departamento,426958792,232,213,3,2,Sí,Sí,1965
265,Biobío,Los Ángeles,Terreno,53289825,290,285,4,1,Sí,No,1954
266,Araucanía,Temuco,Departamento,360319055,64,48,4,1,No,Sí,2005
267,Araucanía,Temuco,Departamento,410723942,152,144,6,3,No,No,1980
268,Biobío,Los Ángeles,Terreno,319615981,121,95,4,4,No,Sí,1990
269,Biobío,Concepción,Casa,217884883,133,127,2,2,Sí,Sí,1980
270,Valparaíso,Viña del Mar,Departamento,300077775,109,100,2,4,Sí,No,2002
271,Biobío,Concepción,Departamento,131892649,76,63,2,4,Sí,Sí,2016
272,Coquimbo,La Serena,Oficina,171959584,158,133,1,3,No,No,2017
273,Biobío,Los Ángeles,Casa,227257456,123,104,5,4,Sí,Sí,1957
274,Biobío,Los Ángeles,Casa,369785475,254,224,6,2,Sí,Sí,1976
275,Valparaíso,Viña del Mar,Departamento,324033092,145,120,5,1,Sí,Sí,1962
276,Biobío,Los Ángeles,Terreno,288939722,274,256,4,2,Sí,No,1997
277,Coquimbo,La Serena,Terreno,119714926,290,279,6,2,No,Sí,1954
278,Biobío,Concepción,Departamento,174131157,242,222,5,4,Sí,No,1952
279,Metropolitana,Las Condes,Departamento,319540282,230,209,4,4,Sí,Sí,1985
280,Metropolitana,Las Condes,Casa,292879945,77,69,6,3,No,Sí,2008
281,Coquimbo,La Serena,Departamento,221523235,99,88,5,4,No,No,1981
282,Metropolitana,Las Condes,Terreno,435450015,205,181,6,3,No,No,1959
283,Coquimbo,La Serena,Terreno,244311102,256,251,6,2,Sí,Sí,1978
284,Valparaíso,Viña del Mar,Departamento,256245847,241,218,1,1,No,Sí,1992
285,Metropolitana,Providencia,Casa,37812586,56,42,3,2,No,No,1987
286,Valparaíso,Viña del Mar,Oficina,428600300,156,138,5,1,No,Sí,1988
287,Los Lagos,Puerto Montt,Casa,146087004,229,212,5,4,No,Sí,1965
288,Valparaíso,Viña del Mar,Terreno,254149862,278,258,3,3,Sí,Sí,1992
289,Metropolitana,Santiago,Departamento,248337903,243,214,6,1,Sí,No,2010
290,Valparaíso,Viña del Mar,Terreno,92949140,281,266,5,4,Sí,Sí,1987
291,Metropolitana,Santiago,Oficina,103439069,266,239,5,4,No,No,2015
292,Metropolitana,Providencia,Departamento,288783194,289,265,1,3,No,No,1976
293,Metropolitana,Las Condes,Casa,76572083,227,209,1,4,No,Sí,1967
294,Araucanía,Temuco,Oficina,493516402,229,211,6,4,Sí,Sí,1965
295,Biobío,Los Ángeles,Oficina,351117331,209,199,5,2,No,Sí,1951
296,Valparaíso,Viña del Mar,Departamento,120715771,41,25,6,4,Sí,Sí,1969
297,Metropolitana,Providencia,Departamento,160606789,44,20,6,3,Sí,Sí,1977
298,Valparaíso,Viña del Mar,Casa,152566498,139,113,6,4,No,No,1956
299,Biobío,Concepción,Departamento,304822452,90,62,5,2,Sí,No,2009
300,Biobío,Los Ángeles,Oficina,427359846,297,281,6,2,Sí,Sí,1962
301,Coquimbo,La Serena,Oficina,358409642,255,240,3,2,Sí,Sí,1973
302,Metropolitana,Las Condes,Casa,59633413,155,144,6,2,Sí,No,1956
303,Biobío,Concepción,Departamento,150585922,33,23,5,3,No,No,1955
304,Araucanía,Temuco,Terreno,388025254,144,135,5,3,Sí,Sí,1952
305,Biobío,Concepción,Terreno,422977457,151,144,2,2,No,No,1982
306,Biobío,Los Ángeles,Oficina,96123970,237,232,3,1,Sí,No,1963
307,Araucanía,Temuco,Terreno,218506022,103,91,6,2,Sí,No,2021
308,Biobío,Concepción,Terreno,110793951,159,139,5,4,Sí,No,1952
309,Metropolitana,Las Condes,Terreno,265623049,278,267,1,1,No,Sí,1959
310,Metropolitana,Providencia,Oficina,245979800,227,216,2,2,Sí,No,1971
311,Valparaíso,Viña del Mar,Departamento,49126661,194,167,4,1,No,Sí,1998
312,Valparaíso,Valparaíso,Departamento,249427528,58,44,1,2,No,Sí,2005
313,Metropolitana,Providencia,Oficina,368030585,165,142,3,1,No,Sí,1965
314,Biobío,Concepción,Oficina,419746226,48,40,1,1,Sí,Sí,1983
315,Los Lagos,Puerto Montt,Casa,65703366,243,221,1,4,Sí,No,2007
316,Valparaíso,Valparaíso,Terreno,104728665,227,213,6,1,Sí,Sí,1998
317,Valparaíso,Valparaíso,Terreno,153145070,297,277,1,3,No,Sí,1953
318,Metropolitana,Providencia,Oficina,496032193,155,136,6,1,No,Sí,1958
319,Los Lagos,Puerto Montt,Terreno,330672677,280,264,3,3,No,Sí,1989
320,Metropolitana,Las Condes,Terreno,312539517,290,261,6,1,Sí,No,1980
321,Los Lagos,Puerto Montt,Oficina,252885391,137,129,5,4,No,No,1968
322,Metropolitana,Las Condes,Casa,249805072,247,241,3,1,Sí,Sí,1960
323,Coquimbo,La Serena,Casa,414349747,63,42,3,2,Sí,Sí,1991
324,Metropolitana,Providencia,Oficina,260649417,145,123,5,4,No,No,1985
325,Coquimbo,La Serena,Terreno,454509475,167,156,4,1,Sí,No,1968
326,Valparaíso,Valparaíso,Casa,258072837,262,243,3,4,No,Sí,1977
327,Valparaíso,Valparaíso,Departamento,85308181,175,169,5,1,No,Sí,1971
328,Valparaíso,Viña del Mar,Terreno,53408135,166,160,6,4,No,No,1994
329,Coquimbo,La Serena,Departamento,260348990,212,198,3,4,Sí,No,2004
330,Biobío,Concepción,Oficina,208094157,170,151,1,4,Sí,No,1998
331,Biobío,Concepción,Terreno,455273085,245,218,3,3,No,No,1971
332,Valparaíso,Viña del Mar,Terreno,420295636,148,132,2,4,Sí,No,1990
333,Biobío,Los Ángeles,Casa,78418259,81,70,4,3,Sí,No,1996
334,Los Lagos,Puerto Montt,Departamento,471357834,287,277,1,3,No,No,2000
335,Araucanía,Temuco,Oficina,87247458,162,148,2,2,No,Sí,1990
336,Biobío,Los Ángeles,Casa,180715590,45,33,6,3,Sí,No,1989
337,Los Lagos,Puerto Montt,Casa,30424253,246,217,1,1,No,Sí,1980
338,Valparaíso,Viña del Mar,Departamento,467358685,275,255,1,2,No,No,2015
339,Valparaíso,Valparaíso,Departamento,453101255,44,28,3,4,No,Sí,1952
340,Metropolitana,Providencia,Terreno,475824872,68,51,4,1,Sí,Sí,1995
341,Biobío,Concepción,Departamento,266494968,122,95,1,1,Sí,No,1951
342,Valparaíso,Valparaíso,Oficina,73756628,239,228,5,2,Sí,Sí,2001
